Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,21.0,0 days 01:28:52.762000,,MEDIUM,21.0
NOR,McLaren,21.0,0 days 01:28:54.184000,,MEDIUM,21.0
PIA,McLaren,20.0,0 days 01:27:23.879000,,MEDIUM,20.0
LEC,Ferrari,21.0,0 days 01:29:00.325000,,MEDIUM,21.0
RUS,Mercedes,19.0,0 days 01:25:55.425000,,MEDIUM,19.0
ANT,Mercedes,31.0,0 days 01:44:36.470000,,MEDIUM,31.0
HAM,Ferrari,30.0,0 days 01:43:08.469000,,HARD,30.0
HAD,Racing Bulls,25.0,0 days 01:35:25.953000,,MEDIUM,25.0
ALB,Williams,24.0,0 days 01:33:56.218000,,MEDIUM,24.0
BEA,Haas F1 Team,23.0,0 days 01:32:27.811000,,MEDIUM,23.0
ALO,Aston Martin,24.0,0 days 01:34:05.249000,,MEDIUM,25.0
TSU,Red Bull Racing,23.0,0 days 01:32:34.201000,,MEDIUM,23.0
GAS,Alpine,24.0,0 days 01:34:08.327000,,MEDIUM,24.0
SAI,Williams,33.0,0 days 01:48:23.384000,,MEDIUM,33.0
DOO,Alpine,15.0,0 days 01:20:07.246000,,SOFT,15.0
HUL,Kick Sauber,22.0,0 days 01:31:05.091000,,MEDIUM,22.0
LAW,Racing Bulls,33.0,0 days 01:48:21.259000,,MEDIUM,33.0
OCO,Haas F1 Team,32.0,0 days 01:46:49.898000,,HARD,33.0
BOR,Kick Sauber,31.0,0 days 01:45:18.580000,,HARD,31.0
STR,Aston Martin,9.0,0 days 01:10:38.519000,,SOFT,9.0
STR,Aston Martin,30.0,0 days 01:44:02.482000,,HARD,22.0
