Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,28.0,0 days 01:33:29.565000,,HARD,28.0
VER,77.0,0 days 02:35:22.869000,,MEDIUM,49.0
GAS,1.0,0 days 00:57:37.624000,,MEDIUM,7.0
GAS,8.0,0 days 01:08:39.977000,,MEDIUM,7.0
ANT,69.0,0 days 02:28:35.673000,,HARD,69.0
ANT,71.0,0 days 02:31:26.292000,,MEDIUM,2.0
ALO,16.0,0 days 01:18:29.008000,,HARD,17.0
LEC,22.0,0 days 01:25:50.970000,,MEDIUM,22.0
LEC,49.0,0 days 01:59:52.894000,,HARD,27.0
STR,17.0,0 days 01:20:22.010000,,HARD,18.0
STR,64.0,0 days 02:22:14.083000,,HARD,48.0
TSU,1.0,0 days 00:57:35.742000,,SOFT,1.0
TSU,73.0,0 days 02:33:41.231000,,HARD,72.0
ALB,32.0,0 days 01:39:40.820000,,MEDIUM,36.0
ALB,40.0,0 days 01:50:14.937000,,MEDIUM,16.0
HUL,12.0,0 days 01:13:40.488000,,MEDIUM,12.0
HUL,44.0,0 days 01:55:51.467000,,HARD,32.0
LAW,31.0,0 days 01:38:22.830000,,MEDIUM,31.0
LAW,40.0,0 days 01:50:12.953000,,SOFT,12.0
OCO,16.0,0 days 01:18:33.961000,,MEDIUM,16.0
OCO,28.0,0 days 01:34:19.654000,,MEDIUM,16.0
NOR,19.0,0 days 01:22:00.706000,,MEDIUM,19.0
NOR,50.0,0 days 02:01:03.269000,,HARD,31.0
COL,13.0,0 days 01:15:01.421000,,HARD,13.0
COL,26.0,0 days 01:32:09.986000,,MEDIUM,20.0
HAM,18.0,0 days 01:21:01.299000,,HARD,18.0
HAM,56.0,0 days 02:09:16.665000,,HARD,39.0
BOR,1.0,0 days 00:57:58.119000,,MEDIUM,1.0
BOR,26.0,0 days 01:32:08.977000,,HARD,25.0
BOR,35.0,0 days 01:44:07.465000,,SOFT,9.0
SAI,48.0,0 days 02:00:46.035000,,HARD,48.0
SAI,53.0,0 days 02:07:21.272000,,MEDIUM,5.0
HAD,14.0,0 days 01:15:55.354000,,MEDIUM,14.0
HAD,19.0,0 days 01:22:38.206000,,SOFT,8.0
RUS,53.0,0 days 02:07:27.309000,,HARD,53.0
RUS,62.0,0 days 02:19:12.534000,,MEDIUM,9.0
RUS,68.0,0 days 02:26:57.920000,,MEDIUM,15.0
PIA,20.0,0 days 01:23:22.299000,,MEDIUM,20.0
PIA,48.0,0 days 01:58:46.120000,,HARD,28.0
BEA,1.0,0 days 00:57:39.578000,,MEDIUM,1.0
BEA,17.0,0 days 01:20:23.516000,,HARD,16.0
