Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,16.0,0 days 01:29:14.566000,,MEDIUM,16.0
GAS,22.0,0 days 01:39:20.142000,,MEDIUM,22.0
PER,21.0,0 days 01:38:21.054000,,MEDIUM,21.0
ANT,22.0,0 days 01:38:55.866000,,MEDIUM,22.0
ALO,21.0,0 days 01:38:40.390000,,MEDIUM,21.0
ALO,23.0,0 days 01:42:58.231000,,HARD,2.0
LEC,17.0,0 days 01:30:48.100000,,MEDIUM,17.0
STR,21.0,0 days 01:38:32.830000,,MEDIUM,21.0
STR,24.0,0 days 01:44:32.401000,,HARD,3.0
STR,30.0,0 days 01:56:33.070000,,MEDIUM,6.0
ALB,22.0,0 days 01:40:02.425000,,MEDIUM,22.0
ALB,45.0,0 days 02:20:19.074000,,HARD,23.0
ALB,46.0,0 days 02:22:15.709000,0 days 02:20:42.087000,SOFT,1.0
ALB,47.0,0 days 02:24:13.359000,0 days 02:22:39.712000,SOFT,2.0
ALB,48.0,0 days 02:26:12.839000,0 days 02:24:39.312000,SOFT,3.0
ALB,49.0,0 days 02:28:20.148000,0 days 02:26:45.557000,SOFT,4.0
HUL,23.0,0 days 01:41:56.158000,,MEDIUM,23.0
VER,22.0,0 days 01:39:24.380000,,MEDIUM,22.0
LAW,22.0,0 days 01:39:46.870000,,MEDIUM,22.0
OCO,19.0,0 days 01:34:25.165000,,MEDIUM,19.0
LIN,18.0,0 days 01:32:51.911000,,MEDIUM,18.0
COL,17.0,0 days 01:31:18.164000,,MEDIUM,17.0
HAM,22.0,0 days 01:39:04.896000,,MEDIUM,22.0
BOR,22.0,0 days 01:39:47.950000,,MEDIUM,22.0
SAI,22.0,0 days 01:39:55.099000,,MEDIUM,22.0
HAD,19.0,0 days 01:34:28.049000,,MEDIUM,19.0
RUS,21.0,0 days 01:37:02.807000,,MEDIUM,21.0
BOT,19.0,0 days 01:35:16.312000,,HARD,19.0
PIA,18.0,0 days 01:32:17.551000,,MEDIUM,18.0
BEA,16.0,0 days 01:29:43.059000,,MEDIUM,16.0
